Cultura,Largura (m),Comprimento (m),AreaTotal (m),AreaUtil (m),AduboNitrogenado (kg),SementesNecessarias (kg)
soja,10.00,10.00,100.00,41.670.33,4385.96
remover,60.00,25.00,1500.00,1412.5014.12,21619.90
soja,10.00,10.00,100.00,41.670.33,4385.96
cafe,10.00,10.00,100.00,2325.0023.25,35586.73
remover,50.00,50.00,2500.00,2325.0023.25,35586.73
cafe,10.00,10.00,100.00,2325.00,23.25,35586.73
remover,50.00,50.00,2500.00,2325.00,23.25,35586.73
soja,30.00,30.00,900.00,725.005.80,76315.79
soja,30.00,30.00,900.00,725.00,5.80,76315.79
cafe,50.00,50.00,2500.00,2325.0023.25,35586.73
cafe,50.00,50.00,2500.00,2325.00,23.25,35586.73
cafe,45.00,45.00,2025.00,1867.5018.68,28584.18
cafe,6.00,2.00,12.00,5.000.05,76.53
cafe,45.00,45.00,2025.00,1867.50,18.68,28584.18
cafe,6.00,2.00,12.00,5.00,0.05,76.53
cafe,47.00,10.00,470.00,435.004.35,6658.16
cafe,47.00,10.00,470.00,435.00,4.35,6658.16
soja,10.00,2.00,20.00,8.330.07,877.19
soja,10.00,2.00,20.00,8.33,0.07,877.19
soja,10.00,10.00,100.00,41.670.33,4385.96
cafe,7.00,5.00,35.00,17.500.17,267.86
soja,10.00,10.00,100.00,41.67,0.33,4385.96
cafe,7.00,5.00,35.00,17.50,0.17,267.86
soja,26.00,12.00,312.00,69.33,0.55,36491228.07
soja,10.00,12.00,120.00,30.00,0.24,15789473.68
cafe,14.00,41.00,574.00,95.67,0.96,29285714.29
soja,62.00,32.00,1984.00,396.80,3.17,208842105.26
cafe,41.00,12.00,492.00,123.00,1.23,37653061.22
cafe,32.00,23.00,736.00,122.67,1.23,37551020.41
cafe,25.00,41.00,1025.00,256.25,2.56,78443877.55
soja,10.00,25.00,250.00,41.67,0.33,21929824.56
soja,62.00,42.00,2604.00,434.00,3.47,228421052.63
cafe,25.00,23.00,575.00,115.00,1.15,35204081.63
soja,10.00,10.00,100.00,20.00,0.16,10526315.79
